value code,table name,title_heb,title_eng,title_rus
T5390,??? ????,????,Malta,??????
T5391,??? ????,??????,Armenia,???????
T5392,??? ????,???????,Ethiopia,???????
T5393,??? ????,?????,Bahamas,????????? ???????
T5394,??? ????,?????,Bhutan,?????
T5395,??? ????,????????,Botswana,????????
T5396,??? ????,???????,Bolivia,???????
T5397,??? ????,?????? ?????????,Bosnia-Herzegovina,?????? ? ???????????
T5398,??? ????,???????,Burundi,???????
T5399,??? ????,??????,Bahrain,???????
T5400,??? ????,????,Belize,Belize
T5401,??? ????,??????,Bangladesh,?????????
T5402,??? ????,????,Benin,?????
T5403,??? ????,??????,Barbados,????????
T5404,??? ????,??????,Brunei,??????
T5405,??? ????,?'?????,Djibouti,????????
T5406,??? ????,?'?????,Jamaica,??????
T5407,??? ????,????,Ghana,????
T5408,??? ????,????,Gabon,?????
T5409,??? ????,?????,Giana,??????
T5410,??? ????,???????,Georgia,??????
T5411,??? ????,???????,Guatemala,?????????
T5412,??? ????,????? ?????,Guinea Bissau,?????? ?????
T5413,??? ????,????? ????????,Equatorial Guinea,?????????????? ??????
T5414,??? ????,????????,Dominica,????????????? ??????????
T5415,??? ????,???? ??????,South Korea,????? ?????
T5416,??? ????,???? ????,Hong Kong,???????
T5417,??? ????,???????,Honduras,????????
T5418,??? ????,?????????,Maldives,??????????? ???????
T5419,??? ????,?????? ???????,United Kingdom,??????-????????
T5420,??? ????,??????????,Philippines,?????????
T5421,??? ????,???????,Vietnam,???????
T5422,??? ????,??????,Vanuatu,???????
T5423,??? ????,???????,Venezuela,?????????
T5424,??? ????,????????,Zimbabwe,????????
T5425,??? ????,???'?,Niger,???????
T5426,??? ????,????,Nepal,?????
T5427,??? ????,?????,Sudan,?????
T5428,??? ????,??? ?????,Ivory Coast,????? ???????? ?????
T5429,??? ????,??'??????,Tadjikistan,???????????
T5430,??? ????,??????????,Turkmenistan,????????????
T5431,??? ????,??????,Tanzania,????????
T5432,??? ????,??????? ??????,Trinidad and Tobago,???????? ? ??????
T5433,??? ????,??????,Liberia,???????
T5434,??? ????,??????????,Liechtenstein,???????????
T5435,??? ????,?????????,Mauritania,??????????
T5436,??? ????,?????????,Mauritius,????????
T5437,??? ????,??????,Madagascar,??????????
T5438,??? ????,???????,Mozambique,????????
T5439,??? ????,????????,Mongolia,????????
T5440,??? ????,???? ?????,East Timor,????????? ?????
T5441,??? ????,?????????,Micronesia,??????????
T5442,??? ????,?????,Malesia,????????
T5443,??? ????,???'?,Fiji,?????
T5444,??? ????,????,Palau,?????
T5445,??? ????,????,Panama,??????
T5446,??? ????,????? ????,Costa Rica,?????-????
T5447,??? ????,??????,Kazakhstan,?????????
T5448,??? ????,????,Katar,?????
T5449,??? ????,???? ????,Cape Verde,Cape Verde
T5450,??? ????,?????????,Kyrgyzstan,????????
T5451,??? ????,???????,Kiribati,????????
T5452,??? ????,???????,Kambodia,????????
T5453,??? ????,?????,Cameroon,???????
T5454,??? ????,????,Kenya,?????
T5455,??? ????,???????,Cyprus,????
T5456,??? ????,???????,Croatia,????????
T5457,??? ????,??????,Ruanda,??????
T5458,??? ????,?????,Sweden,??????
T5459,??? ????,??????,Thailand,???????
T5460,??? ????,????,Yemen,?????
T5461,??? ????,??????,Rhodesia,???????
T5462,??? ????,???,China,?????
T5463,??? ????,???????,Estonia,???????
T5464,??? ????,???,???,???
